DATE,s_clinical_deep
20161202,8186
20161203,3818
20161204,8616
20161205,3630
20161206,10383
20161207,9484
20161208,5986
20161209,5136
20161210,4449
20161211,3789
20161212,8482
20161213,7614
20161214,6898
20161215,4874
20161216,6322
20161217,8178
20161218,6238
20161219,4531
20161220,3246
20161221,9182
20161222,6814
20161223,8227
20161224,4051
20161225,4947
20161226,3793
20161227,6666
20161228,6115
20161229,4771
20161231,8846
20170101,8719
20170102,4695
20170103,3421
20170104,6732
20170105,4945
20170106,6553
20170107,6440
20170108,3689
20170109,6837
20170110,5686
20170111,5953
20170112,7932
20170113,6448
20170114,7665
20170115,3094
20170116,6262
20170117,6873
20170118,6577
20170119,6989
20170120,7236
20170121,7071
20170122,5575
20170123,6403
20170124,5251
20170125,10054
20170126,6262
20170127,1594
20170128,1521
20170129,0
20170130,0
20170131,6899
20170201,6974
20170202,2001
20170203,6919
20170204,10251
20170205,4749
20170206,4475
20170207,1028
20170208,2782
20170209,2710
20170210,3952
20170211,6077
20170212,8505
20170213,4162
20170214,7993
20170215,6721
20170216,3591
20170217,3277
20170218,5342
20170219,7213
20170220,5816
20170221,3296
20170222,5453
20170223,5287
20170224,5669
20170225,5067
20170226,1268
20170227,1733
20170228,2331
20170301,347
20170302,3665
20170303,4823
20170304,5410
20170305,1307
20170306,3454
20170307,1278
20170308,741
20170309,1968
20170310,4830
20170311,3629
20170312,4805
20170313,3232
20170314,3038
20170315,1745
20170316,8083
20170317,2627
20170318,3651
20170319,4747
20170320,707
20170321,2581
20170322,1945
